Rank,Name,Platform,Year,Publisher,Developer,Critic_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
782,LittleBigPlanet,PS3,2008,Sony Computer Entertainment  ,Media Molecule  ,9.4,2.8,2.01,0.17,0.87,5.85
792,Professor Layton and the Curious Village,DS,2008,Nintendo  ,Level 5  ,8.7,1.21,2.44,1.03,0.51,5.2
793,Spider-Man: The Movie,PS2,2002,Activision  ,Treyarch  ,8.2,2.71,1.51,0.03,0.23,4.48
794,The Elder Scrolls IV: Oblivion,X360,2009,Take-Two Interactive  ,Bethesda Softworks  ,9.2,2.89,1.03,0.13,0.41,4.47
797,The Legend of Zelda: The Wind Waker,GC,2003,Nintendo  ,Nintendo EAD  ,9.6,2.6,0.99,0.89,0.13,4.6
798,Tony Hawk's Pro Skater 3,PS2,2001,Activision  ,Neversoft Entertainment  ,9.1,2.66,1.29,0.01,0.46,4.41
801,Winning Eleven: Pro Evolution Soccer 2007,PS2,2007,Konami  ,Konami Computer Entertainment Tokyo  ,8.8,0.1,2.39,1.05,0.86,4.39
803,Michael Jackson: The Experience,Wii,2010,Ubisoft  ,Ubisoft Montpellier  ,5.6,2.64,1.33,0.01,0.39,4.37
805,Need for Speed: Most Wanted,PS2,2005,Electronic Arts  ,EA Canada  ,8.6,2.03,1.79,0.08,0.47,4.37
807,Call of Duty: Advanced Warfare,X360,2014,Activision  ,High Moon Studios  ,9.1,2.81,1.13,0.0,0.41,4.34
809,Animal Crossing: City Folk,Wii,2008,Nintendo  ,Nintendo EAD  ,7.1,1.84,1.13,1.32,0.36,4.65
813,Dragon Quest VII,PS,2001,Enix  ,Heart Beat  ,8.0,0.2,0.14,4.1,0.02,4.47
815,Monster Hunter Generations,3DS,2016,Capcom  ,Capcom  ,8.8,0.42,0.26,2.82,0.07,3.56
816,Batman: Arkham Asylum,PS3,2009,Eidos Interactive  ,Rocksteady Studios  ,9.0,2.26,1.33,0.07,0.63,4.28
817,Call of Duty: Advanced Warfare,PS3,2014,Activision  ,High Moon Studios  ,9.1,1.59,1.81,0.2,0.67,4.27
818,God of War II,PS2,2007,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,9.3,2.32,0.04,0.04,1.67,4.07
820,Super Paper Mario,Wii,2007,Nintendo  ,Intelligent Systems  ,8.5,1.95,0.87,0.59,0.32,3.73
821,Assassin's Creed: Revelations,PS3,2011,Ubisoft  ,Ubisoft Montreal  ,8.8,1.41,2.03,0.1,0.69,4.23
822,Assassin's Creed: Revelations,X360,2011,Ubisoft  ,Ubisoft Montreal  ,7.9,2.28,1.47,0.04,0.44,4.22
823,FIFA Soccer 06,PS2,2005,EA Sports  ,EA Canada  ,8.4,0.78,2.55,0.04,0.84,4.21
826,Monster Hunter 4 Ultimate,3DS,2015,Capcom  ,Capcom  ,8.8,0.72,0.49,2.63,0.12,3.96
828,Street Fighter IV,PS3,2009,Capcom  ,Capcom / Dimps Corporation  ,9.3,2.04,1.05,0.59,0.52,4.19
830,FIFA Soccer 12,X360,2011,EA Sports  ,EA Canada  ,9.2,0.85,2.79,0.02,0.52,4.18
831,Call of Duty: Ghosts,PS4,2013,Activision  ,Infinity Ward  ,7.5,1.79,1.64,0.05,0.69,4.17
832,Teenage Mutant Ninja Turtles,NES,1989,Ultra Games  ,Konami  ,5.9,3.38,0.44,0.31,0.04,4.17
836,The Legend of Zelda: A Link Between Worlds,3DS,2013,Nintendo  ,Nintendo EAD  ,9.3,1.53,1.31,0.47,0.26,3.57
838,Star Wars Battlefront (2015),XOne,2015,Electronic Arts  ,EA DICE  ,6.9,2.49,1.26,0.02,0.38,4.15
840,Madden NFL 2003,PS2,2002,EA Sports  ,EA Tiburon  ,9.4,3.36,0.21,0.01,0.56,4.14
844,Super Mario World 2: Yoshi's Island,SNES,1995,Nintendo  ,Nintendo EAD  ,9.0,1.65,0.61,1.76,0.09,4.12
845,Batman: Arkham Knight,PS4,2015,Warner Bros. Interactive  ,Rocksteady Studios  ,8.1,1.65,1.68,0.11,0.66,4.11
846,FIFA 07 Soccer,PS2,2006,EA Sports  ,Team Fusion  ,8.4,0.71,2.48,0.03,0.89,4.11
850,Street Fighter II Turbo,SNES,1993,Capcom  ,Capcom  ,9.0,1.42,0.51,2.1,0.07,4.1
851,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Sony Computer Entertainment  ,Naughty Dog  ,8.6,3.78,2.17,1.31,0.31,7.58
852,Fallout: New Vegas,X360,2010,Bethesda Softworks  ,Obsidian Entertainment  ,8.2,2.67,1.03,0.04,0.34,4.08
854,Far Cry 4,PS4,2014,Ubisoft  ,Ubisoft Montreal  ,8.4,1.18,2.14,0.11,0.63,4.06
855,Carnival Games,Wii,2007,Global Star Software  ,Cat Daddy Games  ,4.2,2.12,1.47,0.05,0.42,4.06
856,World Soccer Winning Eleven 9,PS2,2006,Konami  ,Konami Computer Entertainment Tokyo  ,8.9,0.12,2.26,0.9,0.77,4.06
857,Forza Motorsport 2,X360,2007,Microsoft Game Studios  ,Turn 10 Studios  ,9.1,2.35,1.27,0.03,0.41,4.05
859,Tekken Tag Tournament,PS2,2000,Namco  ,Namco  ,8.7,1.68,1.51,0.51,0.35,4.05
861,Super Mario Maker,WiiU,2015,Nintendo  ,Nintendo EAD  ,8.8,1.27,0.94,1.03,0.21,3.45
869,EyeToy Play,PS2,2003,Sony Computer Entertainment  ,SCEE London Studio  ,7.5,0.88,2.3,0.2,0.83,4.2
879,Monster Hunter: World,PS4,2018,Capcom  ,Capcom  ,9.3,1.03,1.06,2.17,0.42,4.67
889,Star Fox 64,N64,1997,Nintendo  ,Nintendo EAD  ,9.0,2.78,0.58,0.64,0.04,4.03
903,Fallout 3,PS3,2008,Bethesda Softworks  ,Bethesda Game Studios  ,8.8,2.18,1.15,0.07,0.61,4.0
907,NBA 2K16,PS4,2015,2K Sports  ,Visual Concepts  ,8.7,2.56,0.66,0.05,0.71,3.98
909,Far Cry 5,PS4,2018,Ubisoft  ,Ubisoft  ,7.9,1.44,1.73,0.15,0.62,3.95
910,Battlefield 4,PS4,2013,Electronic Arts  ,EA DICE  ,8.3,1.4,1.74,0.19,0.62,3.94
911,Assassin's Creed IV: Black Flag,PS3,2013,Ubisoft  ,Ubisoft Montreal  ,8.7,1.34,1.86,0.13,0.62,3.94
912,EA Sports Active,Wii,2009,EA Sports  ,EA Vancouver  ,8.3,2.11,1.35,0.06,0.4,3.93
919,Tony Hawk's Underground,PS2,2003,Activision  ,Neversoft Entertainment  ,8.7,2.29,1.17,0.01,0.42,3.9
921,Professor Layton and the Diabolical Box,DS,2009,Nintendo  ,Level 5  ,8.5,0.9,1.76,0.92,0.37,3.95
922,Sports Champions,PS3,2010,Sony Computer Entertainment  ,SCE San Diego Studio  ,7.6,2.15,1.13,0.1,0.5,3.88
924,World Soccer Winning Eleven 8 International,PS2,2005,Konami  ,Konami Computer Entertainment Tokyo  ,9.3,0.16,1.89,1.12,0.68,3.85
929,Resident Evil VII: Biohazard,PS4,2017,Capcom  ,Capcom  ,8.6,0.88,1.56,0.41,0.46,3.31
933,Monster Hunter Freedom Unite,PSP,2009,Capcom  ,Capcom Production Studio 1  ,7.7,0.47,0.57,4.13,0.34,5.5
938,Ratchet & Clank: Size Matters,PSP,2007,Sony Computer Entertainment  ,High Impact Games  ,8.5,1.4,1.4,0.1,0.86,3.75
939,Pokémon Trading Card Game,GB,2000,Nintendo  ,Hudson Soft  ,8.3,1.49,0.73,1.38,0.1,3.7
943,FIFA Soccer 2005,PS2,2004,EA Sports  ,EA Canada  ,8.4,0.58,2.48,0.04,0.59,3.7
946,Super Mario Maker,3DS,2016,Nintendo  ,Nintendo  ,7.3,0.78,1.04,1.25,0.16,3.23
947,The Legend of Zelda: Skyward Sword,Wii,2011,Nintendo  ,Nintendo EAD  ,9.4,2.03,1.18,0.37,0.39,3.96
948,Tony Hawk's Pro Skater 4,PS2,2002,Activision  ,Neversoft Entertainment  ,9.6,2.13,1.18,0.01,0.35,3.67
950,MySims,DS,2007,Electronic Arts  ,EA Redwood Shores  ,6.7,1.58,1.6,0.08,0.4,3.66
951,Banjo-Kazooie,N64,1998,Nintendo  ,Rare Ltd.  ,9.3,1.87,1.13,0.55,0.1,3.65
952,SOCOM: U.S. Navy SEALs,PS2,2002,Sony Computer Entertainment  ,Zipper Interactive  ,8.0,2.53,0.81,0.06,0.24,3.65
953,Battlefield 4,PS3,2013,Electronic Arts  ,EA DICE  ,8.7,1.31,1.5,0.27,0.55,3.64
954,Jak and Daxter: The Precursor Legacy,PS2,2001,Sony Computer Entertainment  ,Naughty Dog  ,9.0,2.08,1.09,0.15,0.33,3.64
955,Pokémon Snap,N64,1999,Nintendo  ,HAL Laboratory  ,7.9,2.23,0.68,0.66,0.06,3.63
956,Pro Evolution Soccer 2008,PS2,2008,Konami  ,Konami  ,8.2,0.05,0.0,0.64,2.93,3.63
957,FIFA Soccer 10,PS3,2009,EA Sports  ,EA Canada  ,9.0,0.6,2.46,0.05,0.52,3.63
959,Star Wars Battlefront,PS2,2004,LucasArts  ,Pandemic Studios  ,8.1,1.93,1.22,0.03,0.44,3.61
965,Metal Gear Solid 3: Snake Eater,PS2,2004,Konami  ,KCEJ / Kojima Productions  ,9.0,1.46,0.0,0.83,1.93,4.23
967,Assassin's Creed Syndicate,PS4,2015,Ubisoft  ,Ubisoft Quebec  ,8.6,0.9,2.06,0.08,0.55,3.6
968,Star Wars Battlefront II,PS2,2005,LucasArts  ,Pandemic Studios  ,8.5,2.18,1.02,0.03,0.37,3.59
970,Cooking Mama 2: Dinner With Friends,DS,2007,Majesco  ,Office Create  ,6.9,1.6,1.49,0.1,0.39,3.58
974,Battlefield 4,X360,2013,Electronic Arts  ,EA DICE  ,8.7,2.16,1.05,0.02,0.32,3.54
975,Grand Theft Auto: Liberty City Stories,PS2,2006,Rockstar Games  ,Rockstar Leeds  ,8.3,1.56,1.4,0.07,0.5,3.54
976,The Getaway,PS2,2003,Sony Computer Entertainment  ,Team Soho  ,7.7,1.23,1.77,0.05,0.49,3.54
977,Tomb Raider III: Adventures of Lara Croft,PS,1998,Eidos Interactive  ,Core Design Ltd.  ,8.2,1.66,1.58,0.12,0.18,3.54
978,Batman: Arkham Asylum,X360,2009,Eidos Interactive  ,Rocksteady Studios  ,9.1,2.24,0.95,0.02,0.33,3.54
979,Assassin's Creed: Brotherhood,X360,2010,Ubisoft  ,Ubisoft Montreal  ,9.1,2.87,0.39,0.03,0.25,3.53
981,LEGO Star Wars: The Video Game,PS2,2005,Eidos Interactive  ,Traveller's Tales  ,7.9,1.98,1.14,0.01,0.41,3.53
982,Resident Evil 5,X360,2009,Capcom  ,Capcom  ,8.6,2.13,0.93,0.12,0.34,3.53
984,NBA 2K17,PS4,2016,2K Sports  ,Visual Concepts  ,9.0,2.28,0.59,0.03,0.63,3.52
985,FIFA Soccer 11,X360,2010,EA Sports  ,EA Canada  ,8.7,0.71,2.39,0.02,0.4,3.52
986,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Nintendo  ,Rare Ltd.  ,8.8,1.17,0.5,1.75,0.08,3.51
992,Fable II,X360,2008,Microsoft Game Studios  ,Lionhead Studios  ,9.0,2.51,1.24,0.11,0.41,4.28
998,Resident Evil 3: Nemesis,PS,1999,Capcom  ,Capcom  ,9.4,1.3,0.77,1.54,0.11,3.72
1004,FIFA Soccer 2004,PS2,2003,EA Sports  ,EA Canada  ,8.0,0.59,2.36,0.04,0.51,3.49
1007,Battlefield: Bad Company 2,X360,2010,Electronic Arts  ,EA Digital Illusions CE  ,9.0,2.11,1.01,0.04,0.33,3.48
1009,Borderlands,X360,2009,2K Games  ,Gearbox Software  ,8.3,2.43,0.72,0.03,0.3,3.48
1010,Animal Crossing: Happy Home Designer,3DS,2015,Nintendo  ,Nintendo EAD  ,6.6,0.71,1.1,1.45,0.15,3.41
1011,Mario & Sonic at the Olympic Winter Games,DS,2009,Sega  ,Sega  ,7.6,1.21,1.63,0.27,0.37,3.47
1013,Guitar Hero: On Tour,DS,2008,Activision  ,Vicarious Visions  ,7.1,2.1,1.01,0.01,0.35,3.46
1015,Spyro 2: Ripto's Rage!,PS,1999,Sony Computer Entertainment  ,Insomniac Games  ,8.7,2.14,1.21,0.01,0.17,3.52
1019,Tekken 4,PS2,2002,Namco  ,Namco  ,7.9,1.55,1.27,0.33,0.29,3.44
1021,LittleBigPlanet 2,PS3,2011,Sony Computer Entertainment  ,Media Molecule  ,9.1,1.83,1.07,0.06,0.47,3.43
1024,Spider-Man 2,PS2,2004,Activision  ,Treyarch  ,7.9,1.75,1.2,0.02,0.43,3.41
1032,Crash Bash,PS,2000,Sony Computer Entertainment  ,Eurocom Entertainment Software  ,6.8,1.56,1.47,0.19,0.17,3.39
1035,Tekken: Dark Resurrection,PSP,2006,Namco Bandai  ,8ing/Raizing  ,8.7,0.76,1.1,0.12,0.65,2.62
1036,The Elder Scrolls V: Skyrim Special Edition,PS4,2016,Bethesda Softworks  ,Bethesda Softworks  ,8.3,1.24,1.5,0.08,0.54,3.36
1038,The Legend of Zelda: Majora's Mask,N64,2000,Nintendo  ,Nintendo EAD  ,9.3,1.9,0.67,0.73,0.06,3.36
1040,Yoshi's Island DS,DS,2006,Nintendo  ,Artoon  ,8.2,1.45,0.07,1.1,0.15,2.77
1042,Assassin's Creed IV: Black Flag,X360,2013,Ubisoft  ,Ubisoft Montreal  ,8.5,1.9,1.14,0.01,0.3,3.34
1043,NBA 2K18,PS4,2017,2K Sports  ,Visual Concepts  ,8.1,2.13,0.57,0.04,0.59,3.34
1044,Big Brain Academy: Wii Degree,Wii,2007,Nintendo  ,Nintendo EAD  ,7.1,1.05,1.91,0.41,0.42,3.79
1045,Luigi's Mansion,GC,2001,Nintendo  ,Nintendo EAD  ,7.9,2.38,0.67,0.46,0.1,3.6
1048,Max Payne,PS2,2001,Rockstar Games  ,Remedy Entertainment  ,8.1,1.99,1.05,0.05,0.22,3.31
1056,The Lord of the Rings: The Return of the King,PS2,2003,Electronic Arts  ,"Hypnos Entertainment, Inc.  ",8.4,1.5,1.28,0.05,0.46,3.28
1060,The Legend of Zelda: Majora's Mask 3D,3DS,2015,Nintendo  ,GREZZO  ,9.0,1.2,0.64,0.48,0.18,2.5
1065,God of War: Chains of Olympus,PSP,2008,Sony Computer Entertainment  ,Ready at Dawn  ,8.9,1.48,1.0,0.04,0.66,3.19
1067,Flash Focus: Vision Training in Minutes a Day,DS,2007,Nintendo  ,Bandai Namco Games  ,6.1,0.86,1.56,1.05,0.35,3.83
1068,Ratchet & Clank: Up Your Arsenal,PS2,2004,Sony Computer Entertainment  ,Insomniac Games  ,9.1,1.31,0.74,0.31,0.22,2.57
1070,L.A. Noire,PS3,2011,Rockstar Games  ,Team Bondi  ,9.1,1.29,1.31,0.12,0.49,3.21
1074,Detroit: Become Human,PS4,2018,Sony Interactive Entertainment  ,Quantic Dream  ,8.0,0.55,0.67,0.12,0.24,1.57
1080,Perfect Dark,N64,2000,Rare  ,Rare Ltd.  ,9.7,1.55,0.75,0.16,0.06,2.52
1082,WWF SmackDown! 2: Know Your Role,PS,2000,THQ  ,Yuke's  ,8.7,1.76,1.21,0.07,0.16,3.2
1083,Assassin's Creed IV: Black Flag,PS4,2013,Ubisoft  ,Ubisoft Montreal  ,8.3,1.07,1.55,0.06,0.51,3.19
1085,1-2-Switch,NS,2017,Nintendo  ,Nintendo EPD  ,5.7,0.62,1.2,0.5,0.15,2.46
1086,Personal Trainer: Cooking,DS,2008,Nintendo  ,Nintendo EAD  ,8.4,0.91,1.01,1.03,0.17,3.13
1089,Assassin's Creed Odyssey,PS4,2018,Ubisoft  ,Ubisoft Quebec  ,9.5,1.18,1.4,0.09,0.51,3.18
1090,Fallout: New Vegas,PS3,2010,Bethesda Softworks  ,Obsidian Entertainment  ,8.2,1.54,1.04,0.1,0.49,3.17
1091,Sonic Heroes,PS2,2004,Sega  ,Sonic Team  ,6.6,1.04,1.37,0.06,0.49,2.96
1098,The Elder Scrolls IV: Oblivion,PS3,2007,Bethesda Softworks  ,4J Studios  ,9.3,1.69,0.86,0.14,0.44,3.12
1100,Star Wars Episode I Racer,N64,1999,LucasArts  ,LucasArts  ,8.7,2.31,0.62,0.14,0.04,3.12
1101,Tekken 6,PS3,2009,Namco Bandai  ,Namco Bandai Games  ,7.9,1.2,0.97,0.17,0.42,2.77
1104,Tom Clancy's Ghost Recon Wildlands,PS4,2017,Ubisoft  ,Ubisoft Paris  ,7.0,1.07,1.35,0.22,0.47,3.12
1105,NBA 2K13,X360,2012,2K Sports  ,Visual Concepts  ,8.6,2.62,0.21,0.01,0.28,3.11
1107,Mario Party 9,Wii,2012,Nintendo  ,"Nd Cube Co., Ltd.  ",6.5,1.06,1.15,0.77,0.22,3.2
1112,Mass Effect 2,X360,2010,Electronic Arts  ,BioWare Edmonton  ,9.5,1.99,0.81,0.03,0.27,3.1
1116,Saints Row 2,X360,2008,THQ  ,Volition Inc.  ,7.9,1.98,0.79,0.02,0.28,3.07
1118,New Super Luigi U,WiiU,2013,Nintendo  ,Nintendo  ,7.8,1.25,0.75,0.22,0.2,2.42
1123,Mario Tennis Aces,NS,2018,Nintendo  ,Camelot Software Planning  ,7.8,0.71,0.62,0.42,0.12,1.87
1126,Rhythm Heaven,DS,2009,Nintendo  ,Nintendo SPD Group No.1  ,8.5,0.55,0.5,1.93,0.14,3.12
1131,Professor Layton and the Unwound Future,DS,2010,Nintendo  ,Level 5  ,8.4,0.61,1.58,0.82,0.27,3.28
1152,Gears of War 3,X360,2011,Microsoft Studios  ,Epic Games  ,9.1,4.05,1.59,0.07,0.5,6.22
1155,Halo 3: ODST,X360,2009,Microsoft Game Studios  ,Bungie  ,8.7,4.34,1.34,0.06,0.61,6.35
1156,Heavy Rain,PS3,2010,Sony Computer Entertainment  ,Quantic Dream  ,8.8,1.29,1.24,0.06,0.48,3.06
1158,Kinect Sports,X360,2010,Microsoft Game Studios  ,Rare Ltd.  ,7.4,3.92,1.73,0.03,0.55,6.23
1160,Left 4 Dead,X360,2008,Valve Corporation  ,Certain Affinity / Valve Software  ,8.7,2.66,0.49,0.05,0.31,3.52
1161,Left 4 Dead 2,X360,2009,Electronic Arts  ,Certain Affinity / Valve Software  ,9.0,2.67,0.88,0.05,0.38,3.97
1168,MotorStorm,PS3,2007,Sony Computer Entertainment  ,Evolution Studios  ,8.2,1.53,1.61,0.06,0.67,3.87
1175,Sonic and the Secret Rings,Wii,2007,Sega  ,Sonic Team  ,6.7,1.23,1.19,0.04,0.3,2.75
1176,Sonic Rush,DS,2005,Sega  ,Dimps Corporation  ,7.8,1.21,1.56,0.06,0.29,3.13
1187,Kirby Super Star Ultra,DS,2008,Nintendo  ,HAL Laboratory  ,7.3,1.55,0.04,1.19,0.15,2.92
1192,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,Nintendo  ,Nintendo Software Technology Corporation  ,7.8,1.63,0.51,0.35,0.18,2.68
1193,Style Savvy,DS,2009,Nintendo  ,syn Sophia  ,7.6,0.62,0.82,0.96,0.18,2.58
1195,Yokai Watch,3DS,2015,Nintendo  ,Level 5  ,7.7,0.44,0.68,1.34,0.09,2.55
1196,Ratchet & Clank: Going Commando,PS2,2003,Sony Computer Entertainment  ,Insomniac Games  ,8.7,1.44,0.83,0.26,0.25,2.78
1197,The Legend of Zelda: Spirit Tracks,DS,2009,Nintendo  ,Nintendo EAD  ,8.7,1.4,0.92,0.74,0.26,3.32
1198,Battlefield: Bad Company 2,PS3,2010,Electronic Arts  ,EA Digital Illusions CE  ,8.9,1.33,1.11,0.08,0.44,2.96
1200,Street Fighter IV,X360,2009,Capcom  ,Capcom / Dimps Corporation  ,9.3,1.83,0.7,0.15,0.26,2.95
1203,Wave Race 64,N64,1996,Nintendo  ,Nintendo EAD  ,9.2,1.98,0.58,0.34,0.04,2.94
1205,Kirby Star Allies,NS,2018,Nintendo  ,HAL Laboratory  ,8.1,0.75,0.41,0.72,0.11,1.99
1206,Pokémon Ranger,DS,2006,Nintendo  ,HAL Laboratory  ,6.6,1.28,0.03,0.73,0.12,2.15
1210,Mass Effect,X360,2007,Microsoft Game Studios  ,BioWare Edmonton  ,9.2,1.83,0.79,0.03,0.27,2.91
1216,Mario Party: Island Tour,3DS,2013,Nintendo  ,"Nd Cube Co., Ltd.  ",5.5,0.66,1.04,0.56,0.14,2.4
1222,Cooking Mama: Cook Off,Wii,2007,Majesco  ,Office Create  ,5.9,1.41,1.12,0.05,0.3,2.89
1225,Syphon Filter,PS,1999,989 Studios  ,Eidetic  ,9.2,2.03,0.72,0.02,0.11,2.88
1230,Donkey Kong Country Returns 3D,3DS,2013,Nintendo  ,Monster Games  ,8.6,0.81,0.75,0.42,0.14,2.13
1232,Mafia III,PS4,2016,2K Games  ,Hangar 13  ,6.9,0.72,1.67,0.04,0.44,2.87
1234,Colin McRae Rally,PS,2000,Sony Computer Entertainment  ,Codemasters  ,7.9,0.09,2.43,0.12,0.22,2.87
1235,Wii Music,Wii,2008,Nintendo  ,Nintendo EAD  ,5.6,1.35,1.12,0.46,0.32,3.25
1236,The Elder Scrolls III: Morrowind,XB,2002,Bethesda Softworks  ,Bethesda Softworks  ,8.2,2.09,0.63,0.03,0.11,2.86
1238,Assassin's Creed: Brotherhood,PS3,2010,Ubisoft  ,Ubisoft Montreal  ,9.1,1.87,0.57,0.11,0.3,2.85
1243,Metroid Prime,GC,2002,Nintendo  ,Retro Studios  ,9.6,1.96,0.67,0.1,0.09,2.82
1246,BioShock,X360,2007,2K Games  ,2K Australia / 2K Boston  ,9.6,1.65,0.85,0.05,0.28,2.83
1250,Finding Nemo,GBA,2003,THQ  ,Vicarious Visions  ,7.0,1.59,1.05,0.04,0.14,2.82
1251,Medal of Honor,PS3,2010,Electronic Arts  ,EA Los Angeles  ,7.0,1.28,1.04,0.07,0.43,2.82
1254,The Legend of Zelda: A Link to the Past,GBA,2002,Nintendo  ,"Flagship Co., Ltd. / Nintendo EAD  ",9.6,1.75,0.52,0.33,0.1,2.7
1256,Gran Turismo (PSP),PSN,2009,Sony Computer Entertainment  ,Polyphony Digital  ,7.8,0.43,0.91,0.31,1.16,2.82
1260,Need for Speed: Hot Pursuit,PS3,2010,Electronic Arts  ,Criterion Games  ,8.9,1.05,1.24,0.03,0.49,2.81
1262,Killzone 3,PS3,2011,Sony Computer Entertainment  ,Guerrilla Games  ,8.2,1.46,0.87,0.09,0.38,2.81
1270,Madden NFL 07,PS2,2006,EA Sports  ,EA Tiburon  ,8.5,3.63,0.24,0.01,0.61,4.49
1283,Saints Row: The Third,X360,2011,THQ  ,Volition Inc.  ,8.3,1.26,1.14,0.07,0.3,2.77
1288,Resident Evil,PS,1996,Capcom  ,Capcom  ,8.6,2.05,1.16,1.11,0.73,5.05
1291,Tetris DS,DS,2006,Nintendo  ,Nintendo  ,8.5,0.63,0.05,1.35,0.08,2.11
1292,L.A. Noire,X360,2011,Rockstar Games  ,Team Bondi  ,9.1,1.55,0.92,0.02,0.24,2.73
1294,Far Cry: Primal,PS4,2016,Ubisoft  ,Ubisoft Montreal  ,7.2,0.63,1.61,0.07,0.41,2.73
1296,Need for Speed (2015),PS4,2015,Electronic Arts  ,Ghost Games  ,7.0,0.59,1.66,0.06,0.41,2.72
1300,World Soccer Winning Eleven 7 International,PS2,2004,Konami  ,Konami Computer Entertainment Tokyo  ,9.2,0.08,1.24,1.13,0.45,2.9
1305,Mario Party,N64,1999,Nintendo  ,Hudson Soft  ,7.6,1.25,0.53,0.87,0.05,2.7
1307,Call of Duty 3,X360,2006,Activision  ,Treyarch  ,8.0,1.49,0.92,0.02,0.27,2.7
1308,LEGO Star Wars II: The Original Trilogy,PS2,2006,LucasArts  ,Traveller's Tales  ,8.4,1.85,0.64,0.01,0.19,2.69
1313,Dragon Ball: Xenoverse 2,PS4,2016,Namco Bandai Games  ,Dimps Corporation  ,7.1,0.54,0.59,0.14,0.23,1.5
1315,Call of Duty 2: Big Red One,PS2,2005,Activision  ,Treyarch  ,8.5,1.48,0.92,0.01,0.26,2.67
1320,Medal of Honor Heroes,PSP,2006,Electronic Arts  ,Team Fusion  ,6.7,0.86,1.11,0.01,0.67,2.66
1322,Need for Speed: Shift,PS3,2009,Electronic Arts  ,Slightly Mad Studios  ,8.2,0.69,1.4,0.04,0.52,2.65
1325,Donkey Kong Country: Tropical Freeze,NS,2018,Nintendo  ,Retro Studios  ,9.1,0.71,0.61,0.26,0.12,1.69
1326,Mario & Luigi: Dream Team,3DS,2013,Nintendo  ,AlphaDream Corporation  ,8.0,0.95,0.75,0.47,0.16,2.33
1332,Ace Combat 04: Shattered Skies,PS2,2001,Namco  ,Namco  ,8.9,2.06,0.56,0.38,0.17,3.17
1333,Medal of Honor,X360,2010,Electronic Arts  ,EA Los Angeles  ,7.3,1.58,0.8,0.04,0.22,2.64
1334,NBA 2K12,X360,2011,2K Sports  ,Visual Concepts  ,9.1,2.32,0.14,0.01,0.17,2.64
1336,NBA 2K13,PS3,2012,2K Sports  ,Visual Concepts  ,8.9,1.74,0.46,0.05,0.39,2.63
1340,FIFA Soccer 10,X360,2009,EA Sports  ,EA Canada  ,8.9,0.6,1.79,0.01,0.23,2.62
1342,LittleBigPlanet,PSP,2009,Sony Computer Entertainment  ,SCEE Cambridge  ,8.8,0.65,1.27,0.01,0.68,2.61
1343,Kirby: Triple Deluxe,3DS,2014,Nintendo  ,HAL Laboratory  ,7.8,0.74,0.39,0.8,0.11,2.05
1346,Mario Strikers Charged,Wii,2007,Nintendo  ,Next Level Games  ,7.7,1.05,1.05,0.24,0.24,2.59
1347,Monster Hunter 3G,3DS,2013,Capcom  ,Capcom  ,7.6,0.46,0.32,1.96,0.08,2.82
1351,Grand Theft Auto: Episodes from Liberty City,X360,2009,Rockstar Games  ,Rockstar North  ,9.0,1.08,1.22,0.03,0.27,2.6
1354,FIFA Soccer 09,PS3,2008,Electronic Arts  ,EA Canada  ,8.6,0.49,1.63,0.04,0.43,2.59
1358,WWE SmackDown vs. RAW 2007,PS2,2006,THQ  ,Yuke's  ,8.0,1.4,0.88,0.03,0.26,2.58
1361,Clubhouse Games,DS,2006,Nintendo  ,Agenda  ,8.3,0.59,1.8,0.73,0.34,3.45
1364,Dragon Age: Origins,X360,2009,Electronic Arts  ,BioWare Edmonton  ,8.5,1.76,0.55,0.03,0.22,2.56
1365,FIFA 16,PS3,2015,EA Sports  ,EA Canada  ,9.0,0.43,1.68,0.05,0.38,2.55
1366,Pokémon Stadium 2,N64,2001,Nintendo  ,HAL Laboratory  ,7.9,1.02,0.36,1.13,0.23,2.73
1370,Crazy Taxi,PS2,2001,Acclaim Entertainment  ,Hitmaker  ,8.2,1.13,1.12,0.06,0.22,2.52
1373,Tomb Raider (2013),PS3,2013,Square Enix  ,Crystal Dynamics  ,8.9,0.6,1.45,0.08,0.38,2.51
1374,Midnight Club: Los Angeles,PS3,2008,Rockstar Games  ,Rockstar San Diego  ,8.3,1.59,0.54,0.05,0.33,2.5
1382,Crisis Core: Final Fantasy VII,PSP,2008,Square Enix  ,Square Enix  ,8.1,1.35,0.6,0.8,0.44,3.19
1383,Dance Central,X360,2010,MTV Games  ,Harmonix Music Systems  ,8.4,2.15,0.76,0.01,0.26,3.18
1391,Final Fantasy Tactics,PS,1998,Sony Computer Entertainment  ,SquareSoft  ,8.8,0.93,0.12,1.34,0.06,2.45
1393,Forza Horizon 3,XOne,2016,Microsoft Studios  ,Playground Games  ,9.0,1.64,1.96,0.02,0.32,3.93
1419,Saints Row: The Third,PS3,2011,THQ  ,Volition Inc.  ,8.3,0.86,1.06,0.18,0.37,2.48
